# Logfile created on 2025-12-26 19:34:57 +0530 by logger.rb/v1.4.3
2025-12-26 19:34:57 +0530: Memory Usage (443972K) : pext_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (443972K) : nexthv_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (444100K) : pexthv_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (444100K) : graphgate_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (444228K) : sinwg_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (444356K) : sinwg_filler has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (444356K) : sinwg_nofill has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (444484K) : mempad_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (444484K) : topvia1_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (444612K) : topmetal1_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (444612K) : topmetal1_pin has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (444740K) : topmetal1_mask has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (444740K) : topmetal1_filler has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (444868K) : topmetal1_nofill has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (444868K) : topmetal1_slit has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (444996K) : topmetal1_text has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (444996K) : topmetal1_noqrc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (445124K) : topmetal1_res has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (445124K) : topmetal1_iprobe has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (445252K) : topmetal1_diffprb has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (445252K) : inldpwl_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (445380K) : polyres_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (445380K) : polyres_pin has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (445508K) : vmim_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (445508K) : nbulaycut_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (445636K) : antmetal1_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (445636K) : topvia2_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (445764K) : topmetal2_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (445764K) : topmetal2_pin has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (445892K) : topmetal2_mask has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (445892K) : topmetal2_filler has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (446020K) : topmetal2_nofill has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (446020K) : topmetal2_slit has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (446148K) : topmetal2_text has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (446148K) : topmetal2_noqrc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (446276K) : topmetal2_res has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (446276K) : topmetal2_iprobe has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (446404K) : topmetal2_diffprb has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (446404K) : snsring_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (446532K) : sensor_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (446532K) : snsarms_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (446660K) : snscmosvia_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (446660K) : colwind_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (446788K) : flm_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (446788K) : hafniumox_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (446916K) : memvia_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (446916K) : thinfilmres_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (447044K) : rfmem_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (447044K) : norcx_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (447172K) : norcx_m2m3 has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (447300K) : norcx_m2m4 has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (447300K) : norcx_m2m5 has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (447428K) : norcx_m2tm1 has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (447428K) : norcx_m2tm2 has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (447428K) : norcx_m3m4 has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (447428K) : norcx_m3m5 has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (447428K) : norcx_m3tm1 has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (447428K) : norcx_m3tm2 has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (447556K) : norcx_m4m5 has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (447556K) : norcx_m4tm1 has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (447684K) : norcx_m4tm2 has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (447812K) : norcx_m5tm1 has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (447812K) : norcx_m5tm2 has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (447940K) : norcx_tm1tm2 has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (447940K) : norcx_m1sub has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (448068K) : norcx_m2sub has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (448068K) : norcx_m3sub has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (448068K) : norcx_m4sub has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (448196K) : norcx_m5sub has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (448196K) : norcx_tm1sub has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (448196K) : norcx_tm2sub has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (448324K) : snsbotvia_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (448324K) : snstopvia_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (448452K) : deepvia_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (448452K) : fgetch_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (448580K) : ctrgat_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (448580K) : fgimp_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (448708K) : emwihv_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (448708K) : lbe_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (448836K) : alcustop_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (448836K) : nometfiller_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (448964K) : prboundary_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (448964K) : exchange0_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (449092K) : exchange0_pin has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (449092K) : exchange0_text has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (449220K) : exchange1_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (449220K) : exchange1_pin has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (449348K) : exchange1_text has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (449348K) : exchange2_drw has 0 polygons
